ID,Name,Short Name,AICTE Code,EAMCET Code,L4G Code,L4G Group Code,Type,Address,Website,LatLong,District
148,Graphic Era Hill University,,,,C430,,Unknown,,https://www.gehu.ac.in/,,Dehradun
149,Gurunanak Institute of Technology,,,GNIT,C132,,Unknown,,https://gnit.ac.in/,,Rangareddy
150,Gurunanak Institutions Technical Campus,,,GURU,C133,,Unknown,,https://www.gniindia.org/gnitc/,,Rangareddy
151,Holy Mary Institute of Technology and Science College of Engineering,,,HMTK,C135,,Unknown,,https://www.hits.ac.in/,,Medchal
152,Hyderabad Institute of Technology & Management,,,HITM,C246,,Unknown,,https://hitam.org/,,Hyderabad
153,"ICFAI University, Hyderabad",,,,C317,,Unknown,,https://www.icfaiuniversity.in/ifhe/,,Hyderabad
154,Ideal Institute Of Technology,,,,C451,,Unknown,,idealinstitute.ac.in,,Ghaziabad
155,IIIT Hyderabad,,,,C381,,Unknown,,,,Unknown
156,IIIT Kadapa,,,,C456,,Unknown,,iiitk.ac.in,,Kadapa
157,IIIT Sonepat,,,,C316,,Unknown,,https://iiitsonepat.ac.in/,,Sonipat
158,IIT Indore,,,,C404,,Unknown,,https://www.iiti.ac.in/,,Indore
159,IIT Tirupati,,,,C339,,Unknown,,https://www.iittp.ac.in/,,Chittoor
160,Indhira Gandhi National Open University,,,,C299,,Unknown,,https://www.ignou.ac.in/,,Unknown
161,Indian Institute of Information Technology Design and Manufacturing Kurnool,,,,C340,,Unknown,,https://iiitk.ac.in/,,Kurnool
162,"Indian Institute of Information Technology Design and Manufacturing, Kancheepuram",,,,C431,,Unknown,,https://www.iiitdm.ac.in/,,Kancheepuram
163,Indian Institute of Science Education and Research Bhopal,,,,C446,,Unknown,,iiserb.ac.in,,Bhopal
164,Indian Institute of Technology Hyderabad,,,,C383,,Unknown,,,,Unknown
165,Indraprastha Institute of Information Technology Delhi (IIIT-Delhi),,,,C318,,Unknown,,https://www.iiitd.ac.in/,,Unknown
166,Indur Institute of Engineering & Technology,,,IITT,C059,,Unknown,,http://www.induriet.edu.in/,,Medak
167,Institute of Aeronautical Engineering,,,IARE,C173,,Unknown,,https://www.iare.ac.in/,,Medchal
168,International Institute of Information Technology Naya Raipur,,,,C354,,Unknown,,,,Raipur
169,Jai Shriram Engineering College,,,,C410,,Unknown,,"https://jayshriram.edu.in/about-us/#:~:text=world%20through%20eternity.-,Dr.,for%20more%20than%2023%20years.",,Tiruchirappalli
170,Jawaharlal Nehru government polytechnic,,,,C355,,Unknown,,,,Hyderabad
171,Jawaharlal Nehru Technological University Anantapur,,,,C377,,Unknown,,,,Anantapur
172,Jawaharlal Nehru Technological University College of Engineering Kakinada,,,,C423,,Unknown,,https://www.jntuk.edu.in/,,East Godavari
173,Jawaharlal Nehru Technological University Hyderabad,,,,C432,,Unknown,,https://jntuh.ac.in/,,Hyderabad
174,"Jawaharlal Nehru university, New Delhi",,,,C300,,Unknown,,https://www.jnu.ac.in/main/,,Unknown
175,Jayamukhi Institute of Technological Sciences,,,JAYA,C136,,Unknown,,https://jayamukhi.ac.in/,,Warangal
176,Jayaprakash Narayan College of Engineering,,,IPNE,C289,,Unknown,,https://jpnce.ac.in/new/index.php,,Mahbubnagar
177,JB Institute of Engineering & Technology,,,JBIT,C137,,Unknown,,https://www.jbiet.edu.in/,,Rangareddy
178,JKLU University Jaipur,,,,C319,,Unknown,,https://jklu.edu.in/,,Jaipur
179,JNTUH University College of Engineering Jagtial,,,,C384,,Unknown,,,,Unknown
180,Joginapally Bhaskar Rao Institute of Engineering and Technology,,,,C320,,Unknown,,https://jbrec.edu.in/,,Rangareddy
181,Joginpally Br Engineering College,,,JOGI,C138,,Unknown,,https://jbrec.edu.in/,,Rangareddy
182,JSS Academy Of Technical Education Bangalore,,,,C393,,Unknown,,jssateb.ac.in,,Bangalore
183,Jyothishmathi Institute of Technological Sciences,,,JMTK,C139,,Unknown,,,,Karimnagar
184,Jyothishmathi Institute of Technology and Science,,,JMTS,C140,,Unknown,,https://jits.ac.in/,,Karimnagar
185,Jyothismathi Institute of Technology and Science,,,,C472,,Unknown,,https://jits.ac.in/,,Karimnagar
186,K.C.College of Engineering and Management Studies and Research,,,,C453,,Unknown,,kccemsr.edu.in,,Thane
187,K.Ramakrishnan College of Engineering,,,,C409,,Unknown,,https://www.krce.ac.in/,,Tiruchirappalli
