Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
119,CMRM,,CMR Institute of Technology,C119,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://cmrithyderabad.edu.in/,,,,,,
31,CMRG,,CMR Technical Campus,C031,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://cmrtc.ac.in/,,,,,,
215,CITM,,Coastal Institute of Technology & Management,C215,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,543,Vizianagaram,,,,https://www.citm.ac.in/,,,,,,
,,,"College of Agriculture, Nagpur",C485,,Affiliated,,,,27,Maharashtra,505,Nagpur,,,,https://www.pdkv.ac.in/?page_id=3739,,,,,,
256,CVRH,,CVR College of Engineering,C256,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,https://cvr.ac.in/home4/,,,,,,
217,DIET,,Dadi Institute of Engineering & Technology,C217,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,544,Visakhapatnam,,,,https://diet.edu.in/,,,,,,
,,,Dayananda Sagar College of Engineering,C480,,Autonomous,,,,29,Karnataka,572,Bangalore,,,,https://www.dsce.edu.in/,,,,,,
54,DSIT,,DBS Institute of Technology,C054,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,,,,https://www.dbsinstitutions.com/,,,,,,
162,DCET,,Deccan College of Engineering & Technology,C162,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://deccancollege.ac.in/,,,,,,
,,,Devang Patel Institute of Advance Technology and Research,C474,,Affiliated,,,,24,Gujarat,482,Anand,,,,https://www.charusat.ac.in/depstar/index.html,,,,,,
24,MICT,,Devineni Venkata Ramana Dr Hima Sekhar MIC College of Technology,C024,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,https://www.mictech.edu.in/,,,,,,
