state_code,State,district_code,name,Town Code,Town Name,,,,,,,,,,,,,,,,,,,,
18,Assam,323,Nalbari,801628,Tihu,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,801590,Amguri,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,900035,Demow,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,801594,Moranhat,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,801591,Nazira,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,801592,Simaluguri,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,801589,Sivasagar,,,,,,,,,,,,,,,,,,,,
18,Assam,311,Sivasagar,801593,Sonari,,,,,,,,,,,,,,,,,,,,
18,Assam,306,Sonitpur,801573,Biswanath Chariali,,,,,,,,,,,,,,,,,,,,
18,Assam,306,Sonitpur,801570,Dhekiajuli,,,,,,,,,,,,,,,,,,,,
18,Assam,306,Sonitpur,801574,Gohpur,,,,,,,,,,,,,,,,,,,,
18,Assam,306,Sonitpur,287311,Jamugurihat,,,,,,,,,,,,,,,,,,,,
18,Assam,306,Sonitpur,801571,Rangapara,,,,,,,,,,,,,,,,,,,,
18,Assam,306,Sonitpur,801572,Tezpur,,,,,,,,,,,,,,,,,,,,
18,Assam,309,Tinsukia,290058,Chapakhowa Town,,,,,,,,,,,,,,,,,,,,
18,Assam,309,Tinsukia,801584,Digboi,,,,,,,,,,,,,,,,,,,,
18,Assam,309,Tinsukia,801581,Doom Dooma,,,,,,,,,,,,,,,,,,,,
18,Assam,309,Tinsukia,801582,Makum,,,,,,,,,,,,,,,,,,,,
18,Assam,309,Tinsukia,801585,Margherita,,,,,,,,,,,,,,,,,,,,
18,Assam,309,Tinsukia,801583,Tinsukia,,,,,,,,,,,,,,,,,,,,
18,Assam,326,Udalguri,801632,Tangla,,,,,,,,,,,,,,,,,,,,
18,Assam,326,Udalguri,801633,Udalguri,,,,,,,,,,,,,,,,,,,,
10,Bihar,209,Araria,801307,Araria,,,,,,,,,,,,,,,,,,,,
10,Bihar,209,Araria,801306,Forbesganj,,,,,,,,,,,,,,,,,,,,
10,Bihar,209,Araria,801305,Jogabani,,,,,,,,,,,,,,,,,,,,
10,Bihar,240,Arwal,801415,Arwal,,,,,,,,,,,,,,,,,,,,
10,Bihar,235,Aurangabad,801401,Aurangabad,,,,,,,,,,,,,,,,,,,,
10,Bihar,235,Aurangabad,801399,Daudnagar,,,,,,,,,,,,,,,,,,,,
10,Bihar,235,Aurangabad,801402,Nabinagar,,,,,,,,,,,,,,,,,,,,
10,Bihar,235,Aurangabad,801400,Rafiganj,,,,,,,,,,,,,,,,,,,,
10,Bihar,225,Banka,801355,Amarpur,,,,,,,,,,,,,,,,,,,,
10,Bihar,225,Banka,801356,Banka,,,,,,,,,,,,,,,,,,,,
10,Bihar,222,Begusarai,801347,Bakhri,,,,,,,,,,,,,,,,,,,,
10,Bihar,222,Begusarai,801348,Balia,,,,,,,,,,,,,,,,,,,,
10,Bihar,222,Begusarai,801346,Begusarai,,,,,,,,,,,,,,,,,,,,
10,Bihar,222,Begusarai,801345,Bihat,,,,,,,,,,,,,,,,,,,,
10,Bihar,222,Begusarai,801344,Teghra,,,,,,,,,,,,,,,,,,,,
10,Bihar,224,Bhagalpur,801354,Bhagalpur,,,,,,,,,,,,,,,,,,,,
10,Bihar,224,Bhagalpur,240013,Kahalgaon,,,,,,,,,,,,,,,,,,,,
10,Bihar,224,Bhagalpur,801351,Naugachhia,,,,,,,,,,,,,,,,,,,,
10,Bihar,224,Bhagalpur,801353,Sultanganj,,,,,,,,,,,,,,,,,,,,
10,Bihar,231,Bhojpur,801385,Arrah,,,,,,,,,,,,,,,,,,,,
10,Bihar,231,Bhojpur,801387,Behea,,,,,,,,,,,,,,,,,,,,
10,Bihar,231,Bhojpur,801388,Jagdishpur,,,,,,,,,,,,,,,,,,,,
10,Bihar,231,Bhojpur,801386,Koilwar,,,,,,,,,,,,,,,,,,,,
10,Bihar,231,Bhojpur,801389,Piro,,,,,,,,,,,,,,,,,,,,
10,Bihar,231,Bhojpur,801384,Shahpur,,,,,,,,,,,,,,,,,,,,
10,Bihar,232,Buxar,801391,Buxar,,,,,,,,,,,,,,,,,,,,
